Point ID,Points:0,Points:1,Points:2
2127,12.0816,-0.45144,0.0852879
2205,12.082,-0.457125,0.0769295
2125,12.0826,-0.45144,0.0853961
2196,12.0836,-0.45144,0.0854979
2235,12.0846,-0.45144,0.0855934
2277,12.0849,-0.445755,0.0879835
2236,12.0856,-0.45144,0.085683
2199,12.0858,-0.457125,0.0782193
2232,12.0866,-0.45144,0.0857667
2233,12.0876,-0.45144,0.0858449
2118,12.0877,-0.457125,0.0788304
2243,12.0886,-0.45144,0.0859176
3347,12.0899,-0.434385,0.0920402
2244,12.0897,-0.45144,0.085985
2113,12.0896,-0.457125,0.0794165
2229,12.0907,-0.45144,0.0860475
2119,12.0915,-0.457125,0.0799758
2230,12.0917,-0.45144,0.0861052
3417,12.0927,-0.425885,0.0950307
2255,12.0927,-0.45144,0.0861583
